2025-10-29 14:38:34 | INFO     | Trying direct fetch for #20 Edmund Baidoo (1236853) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/1236853
2025-10-29 14:38:39 | INFO     | Trying direct fetch for #53 Daniil Khudyakov (718756) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/718756
2025-10-29 14:38:39 | INFO     | Trying direct fetch for #24 Dimitri Lavalée (420890) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/420890
2025-10-29 14:38:40 | INFO     | Trying direct fetch for #7 Clement Bischoff (953893) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/953893
2025-10-29 14:38:42 | INFO     | Trying direct fetch for #20 Edmund Baidoo (1236853) -> https://www.transfermarkt.com/leistungsdaten/spieler/1236853/saison/ges/
2025-10-29 14:38:48 | INFO     | Trying direct fetch for #53 Daniil Khudyakov (718756) -> https://www.transfermarkt.de/leistungsdaten/spieler/718756/saison/ges/
2025-10-29 14:38:48 | INFO     | Trying direct fetch for #24 Dimitri Lavalée (420890) -> https://www.transfermarkt.de/leistungsdaten/spieler/420890/saison/ges/
2025-10-29 14:38:48 | INFO     | Trying direct fetch for #7 Clement Bischoff (953893) -> https://www.transfermarkt.de/leistungsdaten/spieler/953893/saison/ges/
2025-10-29 14:38:50 | INFO     | Trying direct fetch for #20 Edmund Baidoo (1236853) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/1236853
2025-10-29 14:38:57 | WARNING  | No valid stats for #7 Clement Bischoff (953893)
2025-10-29 14:38:57 | INFO     | Trying direct fetch for #41 Elias Lorenz (948135) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/948135
2025-10-29 14:38:57 | WARNING  | No valid stats for #53 Daniil Khudyakov (718756)
2025-10-29 14:38:57 | INFO     | Trying direct fetch for #47 Emanuel Aiwu (394152) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/394152
2025-10-29 14:38:58 | INFO     | Trying direct fetch for #20 Edmund Baidoo (1236853) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/1236853
2025-10-29 14:39:05 | INFO     | Trying direct fetch for #47 Emanuel Aiwu (394152) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/394152
2025-10-29 14:39:05 | INFO     | Trying direct fetch for #41 Elias Lorenz (948135) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/948135
2025-10-29 14:39:07 | INFO     | Trying direct fetch for #20 Edmund Baidoo (1236853) -> https://www.transfermarkt.de/leistungsdaten/spieler/1236853/saison/ges/
2025-10-29 14:39:09 | WARNING  | Retry 1/3 for https://www.transfermarkt.de/leistungsdaten/spieler/420890/saison/ges/: HTTPSConnectionPool(host='www.transfermarkt.de', port=443): Read timed out. (read timeout=20)
2025-10-29 14:39:13 | INFO     | Trying direct fetch for #47 Emanuel Aiwu (394152) -> https://www.transfermarkt.com/leistungsdaten/spieler/394152/saison/ges/
2025-10-29 14:39:13 | INFO     | Trying direct fetch for #41 Elias Lorenz (948135) -> https://www.transfermarkt.com/leistungsdaten/spieler/948135/saison/ges/
2025-10-29 14:39:16 | WARNING  | No valid stats for #20 Edmund Baidoo (1236853)
2025-10-29 14:39:16 | INFO     | Trying direct fetch for #17 Emir Karic (286596) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/286596
2025-10-29 14:39:16 | WARNING  | No valid stats for #24 Dimitri Lavalée (420890)
2025-10-29 14:39:16 | INFO     | Trying direct fetch for #43 Enrique Aguilar (1057525) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/1057525
2025-10-29 14:39:22 | INFO     | Trying direct fetch for #47 Emanuel Aiwu (394152) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/394152
2025-10-29 14:39:22 | INFO     | Trying direct fetch for #41 Elias Lorenz (948135) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/948135
2025-10-29 14:42:23 | INFO     | Trying direct fetch for #43 Enrique Aguilar (1057525) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/1057525
2025-10-29 14:42:23 | INFO     | Trying direct fetch for #17 Emir Karic (286596) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/286596
2025-10-29 14:42:30 | INFO     | Trying direct fetch for #47 Emanuel Aiwu (394152) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/394152
2025-10-29 14:42:30 | INFO     | Trying direct fetch for #41 Elias Lorenz (948135) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/948135
2025-10-29 14:42:32 | INFO     | Trying direct fetch for #43 Enrique Aguilar (1057525) -> https://www.transfermarkt.com/leistungsdaten/spieler/1057525/saison/ges/
2025-10-29 14:42:32 | INFO     | Trying direct fetch for #17 Emir Karic (286596) -> https://www.transfermarkt.com/leistungsdaten/spieler/286596/saison/ges/
2025-10-29 14:42:39 | INFO     | Trying direct fetch for #47 Emanuel Aiwu (394152) -> https://www.transfermarkt.de/leistungsdaten/spieler/394152/saison/ges/
2025-10-29 14:42:39 | INFO     | Trying direct fetch for #41 Elias Lorenz (948135) -> https://www.transfermarkt.de/leistungsdaten/spieler/948135/saison/ges/
2025-10-29 14:42:41 | INFO     | Trying direct fetch for #43 Enrique Aguilar (1057525) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/1057525
2025-10-29 14:42:41 | INFO     | Trying direct fetch for #17 Emir Karic (286596) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/286596
2025-10-29 14:42:48 | WARNING  | No valid stats for #41 Elias Lorenz (948135)
2025-10-29 14:42:48 | INFO     | Trying direct fetch for #8 Filip Rózga (974365) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/974365
2025-10-29 14:42:48 | WARNING  | No valid stats for #47 Emanuel Aiwu (394152)
2025-10-29 14:42:48 | INFO     | Trying direct fetch for #13 Frans Krätzig (604320) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/604320
2025-10-29 14:42:50 | INFO     | Trying direct fetch for #43 Enrique Aguilar (1057525) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/1057525
2025-10-29 14:42:50 | INFO     | Trying direct fetch for #17 Emir Karic (286596) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/286596
2025-10-29 14:42:57 | INFO     | Trying direct fetch for #8 Filip Rózga (974365) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/974365
2025-10-29 14:42:57 | INFO     | Trying direct fetch for #13 Frans Krätzig (604320) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/604320
2025-10-29 14:42:58 | INFO     | Trying direct fetch for #17 Emir Karic (286596) -> https://www.transfermarkt.de/leistungsdaten/spieler/286596/saison/ges/
2025-10-29 14:43:05 | INFO     | Trying direct fetch for #8 Filip Rózga (974365) -> https://www.transfermarkt.com/leistungsdaten/spieler/974365/saison/ges/
2025-10-29 14:43:05 | INFO     | Trying direct fetch for #13 Frans Krätzig (604320) -> https://www.transfermarkt.com/leistungsdaten/spieler/604320/saison/ges/
2025-10-29 14:43:07 | WARNING  | No valid stats for #17 Emir Karic (286596)
2025-10-29 14:43:07 | INFO     | Trying direct fetch for #43 Jacob Peter Hödl (960463) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/960463
2025-10-29 14:43:11 | WARNING  | Retry 1/3 for https://www.transfermarkt.de/leistungsdatendetails/spieler/1057525: HTTPSConnectionPool(host='www.transfermarkt.de', port=443): Read timed out. (read timeout=20)
2025-10-29 14:43:14 | INFO     | Trying direct fetch for #13 Frans Krätzig (604320) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/604320
2025-10-29 14:43:14 | INFO     | Trying direct fetch for #8 Filip Rózga (974365) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/974365
2025-10-29 14:43:15 | INFO     | Trying direct fetch for #43 Jacob Peter Hödl (960463) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/960463
2025-10-29 14:43:18 | INFO     | Trying direct fetch for #43 Enrique Aguilar (1057525) -> https://www.transfermarkt.de/leistungsdaten/spieler/1057525/saison/ges/
2025-10-29 14:43:22 | INFO     | Trying direct fetch for #8 Filip Rózga (974365) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/974365
2025-10-29 14:43:22 | INFO     | Trying direct fetch for #13 Frans Krätzig (604320) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/604320
2025-10-29 14:43:23 | INFO     | Trying direct fetch for #43 Jacob Peter Hödl (960463) -> https://www.transfermarkt.com/leistungsdaten/spieler/960463/saison/ges/
2025-10-29 14:43:27 | WARNING  | No valid stats for #43 Enrique Aguilar (1057525)
2025-10-29 14:43:27 | INFO     | Trying direct fetch for #2 Jacob Rasmussen (283233) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/283233
2025-10-29 14:43:31 | INFO     | Trying direct fetch for #13 Frans Krätzig (604320) -> https://www.transfermarkt.de/leistungsdaten/spieler/604320/saison/ges/
2025-10-29 14:43:31 | INFO     | Trying direct fetch for #8 Filip Rózga (974365) -> https://www.transfermarkt.de/leistungsdaten/spieler/974365/saison/ges/
2025-10-29 14:43:31 | INFO     | Trying direct fetch for #43 Jacob Peter Hödl (960463) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/960463
2025-10-29 14:43:35 | INFO     | Trying direct fetch for #2 Jacob Rasmussen (283233) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/283233
2025-10-29 14:43:40 | WARNING  | No valid stats for #13 Frans Krätzig (604320)
2025-10-29 14:43:40 | INFO     | Trying direct fetch for #44 Jannik Schuster (915418) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/915418
2025-10-29 14:43:40 | WARNING  | No valid stats for #8 Filip Rózga (974365)
2025-10-29 14:43:40 | INFO     | Trying direct fetch for #2 Jeyland Mitchell (856068) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/856068
2025-10-29 14:43:40 | INFO     | Trying direct fetch for #43 Jacob Peter Hödl (960463) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/960463
2025-10-29 14:43:43 | INFO     | Trying direct fetch for #2 Jacob Rasmussen (283233) -> https://www.transfermarkt.com/leistungsdaten/spieler/283233/saison/ges/
2025-10-29 14:43:49 | INFO     | Trying direct fetch for #44 Jannik Schuster (915418) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/915418
2025-10-29 14:43:49 | INFO     | Trying direct fetch for #2 Jeyland Mitchell (856068) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/856068
2025-10-29 14:43:49 | INFO     | Trying direct fetch for #43 Jacob Peter Hödl (960463) -> https://www.transfermarkt.de/leistungsdaten/spieler/960463/saison/ges/
2025-10-29 14:43:52 | INFO     | Trying direct fetch for #2 Jacob Rasmussen (283233) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/283233
2025-10-29 14:43:57 | INFO     | Trying direct fetch for #44 Jannik Schuster (915418) -> https://www.transfermarkt.com/leistungsdaten/spieler/915418/saison/ges/
2025-10-29 14:43:58 | WARNING  | No valid stats for #43 Jacob Peter Hödl (960463)
2025-10-29 14:43:58 | INFO     | Trying direct fetch for #23 Joane Gadou (1075577) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/1075577
2025-10-29 14:43:58 | INFO     | Trying direct fetch for #2 Jeyland Mitchell (856068) -> https://www.transfermarkt.com/leistungsdaten/spieler/856068/saison/ges/
2025-10-29 14:44:00 | INFO     | Trying direct fetch for #2 Jacob Rasmussen (283233) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/283233
